,Player,playerId,teamId,2K17,2K16,abbreviation
313,Jae Crowder,203109,1610612738,81.0,76.0,BOS
314,Gerald Green,101123,1610612738,73.0,76.0,BOS
315,Al Horford,201143,1610612738,85.0,83.0,BOS
316,Jonas Jerebko,201973,1610612738,73.0,72.0,BOS
317,Amir Johnson,101161,1610612738,76.0,76.0,BOS
318,Jordan Mickey,1626175,1610612738,71.0,68.0,BOS
319,Kelly Olynyk,203482,1610612738,76.0,74.0,BOS
320,Terry Rozier,1626179,1610612738,71.0,69.0,BOS
321,Marcus Smart,203935,1610612738,76.0,74.0,BOS
322,Isaiah Thomas,202738,1610612738,85.0,81.0,BOS
323,James Young,203923,1610612738,67.0,68.0,BOS
324,Tyler Zeller,203092,1610612738,74.0,76.0,BOS
325,Aaron Brooks,201166,1610612754,73.0,75.0,IND
326,Rakeem Christmas,1626176,1610612754,66.0,65.0,IND
327,Monta Ellis,101145,1610612754,77.0,81.0,IND
328,Paul George,202331,1610612754,89.0,86.0,IND
329,Al Jefferson,2744,1610612754,79.0,83.0,IND
330,CJ Miles,101139,1610612754,76.0,73.0,IND
331,Georges Niang,1627777,1610612754,68.0,68.0,IND
332,Jeff Teague,201952,1610612754,79.0,83.0,IND
333,Myles Turner,1626167,1610612754,78.0,73.0,IND
334,Thaddeus Young,201152,1610612754,79.0,75.0,IND
335,Jimmy Butler,202710,1610612741,88.0,86.0,CHI
336,Isaiah Canaan,203477,1610612741,72.0,73.0,CHI
337,Michael Carter-Williams,203487,1610612741,75.0,77.0,CHI
338,Cristiano Felicio,1626245,1610612741,70.0,66.0,CHI
339,Jerian Grant,1626170,1610612741,72.0,69.0,CHI
340,Joffrey Lauvergne,203530,1610612741,75.0,69.0,CHI
341,Robin Lopez,201577,1610612741,77.0,75.0,CHI
342,Nikola Mirotic,202703,1610612741,76.0,74.0,CHI
343,Anthony Morrow,201627,1610612741,73.0,72.0,CHI
344,Cameron Payne,1626166,1610612741,73.0,72.0,CHI
345,Bobby Portis,1626171,1610612741,74.0,71.0,CHI
346,Rajon Rondo,200765,1610612741,81.0,77.0,CHI
347,Denzel Valentine,1627756,1610612741,72.0,72.0,CHI
348,Dwyane Wade,2548,1610612741,87.0,86.0,CHI
349,Paul Zipser,1627835,1610612741,68.0,68.0,CHI
350,Bruno Caboclo,203998,1610612761,66.0,65.0,TOR
351,DeMarre Carroll,201960,1610612761,76.0,79.0,TOR
352,DeMar DeRozan,201942,1610612761,87.0,83.0,TOR
353,Serge Ibaka,201586,1610612761,79.0,80.0,TOR
354,Cory Joseph,202709,1610612761,75.0,74.0,TOR
355,Kyle Lowry,200768,1610612761,86.0,83.0,TOR
356,Lucas Nogueira,203512,1610612761,69.0,68.0,TOR
